idspecies,id_sp_region,dwc_locationID
6736,3,TDWG:BLR
6742,4,TDWG:BLR
6752,5,TDWG:BLR
6893,6,TDWG:BLR
7025,7,TDWG:BLR
6819,8,TDWG:BLR
7080,9,TDWG:BLR
21078,10,TDWG:BLR
21148,11,TDWG:BLR
20857,12,TDWG:BLR
21595,13,TDWG:BLR
21602,14,TDWG:BLR
21634,15,TDWG:BLR
21692,16,TDWG:BLR
21722,17,TDWG:BLR
22131,18,TDWG:BLR
22135,19,TDWG:BLR
22156,20,TDWG:BLR
22159,21,TDWG:BLR
22162,22,TDWG:BLR
22163,23,TDWG:BLR
22168,24,TDWG:BLR
22172,25,TDWG:BLR
22184,26,TDWG:BLR
22176,27,TDWG:BLR
22424,28,TDWG:BLR
22642,29,TDWG:BLR
22652,30,TDWG:BLR
22668,31,TDWG:BLR
22759,32,TDWG:BLR
22764,33,TDWG:BLR
22786,34,TDWG:BLR
21914,35,TDWG:BLR
22050,36,TDWG:BLR
23170,37,TDWG:BLR
22962,38,TDWG:BLR
23403,39,TDWG:BLR
23185,40,TDWG:BLR
23192,41,TDWG:BLR
23217,42,TDWG:BLR
23273,43,TDWG:BLR
22950,44,TDWG:BLR
23347,45,TDWG:BLR
22510,46,TDWG:BLR
22525,47,TDWG:BLR
23418,48,TDWG:BLR
22090,49,TDWG:BLR
23559,50,TDWG:BLR
23631,51,TDWG:BLR
23664,52,TDWG:BLR
23725,53,TDWG:BLR
23882,54,TDWG:BLR
23949,55,TDWG:BLR
24027,56,TDWG:BLR
15097,57,TDWG:BLR
15422,58,TDWG:BLR
15582,59,TDWG:BLR
15601,60,TDWG:BLR
15632,61,TDWG:BLR
15745,62,TDWG:BLR
15766,63,TDWG:BLR
15271,64,TDWG:BLR
15799,65,TDWG:BLR
15885,66,TDWG:BLR
15890,67,TDWG:BLR
15896,68,TDWG:BLR
15906,69,TDWG:BLR
15954,70,TDWG:BLR
16036,71,TDWG:BLR
16040,72,TDWG:BLR
16067,73,TDWG:BLR
16070,74,TDWG:BLR
16236,75,TDWG:BLR
16296,76,TDWG:BLR
16299,77,TDWG:BLR
16339,78,TDWG:BLR
16440,79,TDWG:BLR
16466,80,TDWG:BLR
16484,81,TDWG:BLR
16508,82,TDWG:BLR
16145,83,TDWG:BLR
16535,84,TDWG:BLR
7443,85,TDWG:BLR
7489,86,TDWG:BLR
7498,87,TDWG:BLR
7692,88,TDWG:BLR
7771,89,TDWG:BLR
7840,90,TDWG:BLR
6280,91,TDWG:BLR
6239,92,TDWG:BLR
6410,93,TDWG:BLR
6446,94,TDWG:BLR
6456,95,TDWG:BLR
6664,96,TDWG:BLR
6865,97,TDWG:BLR
6971,98,TDWG:BLR
7008,100,TDWG:BLR
6951,101,TDWG:BLR
6817,102,TDWG:BLR
7149,103,TDWG:BLR
7153,104,TDWG:BLR
20232,105,TDWG:BLR
5155,106,TDWG:BLR
10270,107,TDWG:BLR
10280,108,TDWG:BLR
10138,109,TDWG:BLR
10154,110,TDWG:BLR
10328,111,TDWG:BLR
10347,112,TDWG:BLR
11667,113,TDWG:BLR
11635,114,TDWG:BLR
11653,115,TDWG:BLR
11684,116,TDWG:BLR
11716,117,TDWG:BLR
11791,118,TDWG:BLR
11807,119,TDWG:BLR
12034,120,TDWG:BLR
12071,121,TDWG:BLR
12187,122,TDWG:BLR
12193,123,TDWG:BLR
9259,124,TDWG:BLR
9318,125,TDWG:BLR
9327,126,TDWG:BLR
1052,127,TDWG:BLR
1895,128,TDWG:BLR
5094,129,TDWG:BLR
5134,130,TDWG:BLR
18921,131,TDWG:BLR
710,132,TDWG:BLR
9727,133,TDWG:BLR
9719,134,TDWG:BLR
9852,135,TDWG:BLR
10030,136,TDWG:BLR
5764,137,TDWG:BLR
2745,138,TDWG:BLR
2756,139,TDWG:BLR
2834,140,TDWG:BLR
3159,141,TDWG:BLR
3286,142,TDWG:BLR
3019,143,TDWG:BLR
3252,144,TDWG:BLR
3281,145,TDWG:BLR
3101,146,TDWG:BLR
3111,147,TDWG:BLR
3390,148,TDWG:BLR
3395,149,TDWG:BLR
3461,150,TDWG:BLR
3559,151,TDWG:BLR
3626,152,TDWG:BLR
3677,153,TDWG:BLR
3679,154,TDWG:BLR
3707,155,TDWG:BLR
3780,156,TDWG:BLR
3840,157,TDWG:BLR
3841,158,TDWG:BLR
4031,159,TDWG:BLR
4039,160,TDWG:BLR
4069,161,TDWG:BLR
4129,162,TDWG:BLR
4154,163,TDWG:BLR
4160,164,TDWG:BLR
4240,165,TDWG:BLR
4259,166,TDWG:BLR
4421,167,TDWG:BLR
4428,168,TDWG:BLR
4430,169,TDWG:BLR
4502,170,TDWG:BLR
4534,171,TDWG:BLR
4563,172,TDWG:BLR
4566,173,TDWG:BLR
4575,174,TDWG:BLR
4647,175,TDWG:BLR
4659,176,TDWG:BLR
4730,177,TDWG:BLR
4674,178,TDWG:BLR
4717,179,TDWG:BLR
4805,180,TDWG:BLR
5032,181,TDWG:BLR
8364,182,TDWG:BLR
8362,183,TDWG:BLR
8553,184,TDWG:BLR
8568,185,TDWG:BLR
54068,186,TDWG:BLR
6022,187,TDWG:BLR
13547,188,TDWG:BLR
13666,189,TDWG:BLR
13697,190,TDWG:BLR
17644,191,TDWG:BLR
8692,192,TDWG:BLR
17774,193,TDWG:BLR
20774,194,TDWG:BLR
20797,195,TDWG:BLR
141,197,TDWG:AZO
88,198,TDWG:AZO
107,199,TDWG:AZO
173,200,TDWG:AZO
8232,201,TDWG:AZO
8245,202,TDWG:AZO
7219,203,TDWG:AZO
7165,204,TDWG:AZO
15112,205,TDWG:AZO
17202,206,TDWG:AZO
21415,207,TDWG:AZO
13452,208,TDWG:AZO
12773,209,TDWG:AZO
12793,210,TDWG:AZO
12279,211,TDWG:AZO
10959,212,TDWG:AZO
11017,213,TDWG:AZO
14645,214,TDWG:AZO
7312,215,TDWG:AZO
9584,216,TDWG:AZO
9909,217,TDWG:AZO
10019,218,TDWG:AZO
6193,219,TDWG:AZO
19121,220,TDWG:AZO
20666,221,TDWG:AZO
24120,222,TDWG:AZO
22560,223,TDWG:AZO
2289,224,TDWG:AZO
2235,225,TDWG:AZO
1517,226,TDWG:AZO
4545,227,TDWG:AZO
4459,228,TDWG:AZO
3411,229,TDWG:AZO
4847,230,TDWG:AZO
4843,231,TDWG:AZO
4336,232,TDWG:AZO
4343,233,TDWG:AZO
3013,234,TDWG:AZO
4395,235,TDWG:AZO
667,236,TDWG:AZO
972,237,TDWG:AZO
11330,238,TDWG:AZO
5464,239,TDWG:AZO
22615,240,TDWG:AZO
2793,241,TDWG:AZO
16970,242,TDWG:AZO
622,243,TDWG:AZO
2924,244,TDWG:AZO
7190,245,TDWG:AZO
10461,246,TDWG:AZO
5121,247,TDWG:AZO
18785,248,TDWG:AZO
19223,249,TDWG:AZO
67,250,TDWG:AZO
23807,251,TDWG:AZO
5443,252,TDWG:AZO
12285,253,TDWG:AZO
22924,254,TDWG:AZO
23521,255,TDWG:AZO
23832,256,TDWG:AZO
4532,257,TDWG:AZO
